User_ID,Age,Gender,Daily_Steps,Workout_Min,Calories_Burned,Sleep_Hrs,Protein_Intake,Water_Intake
U0086,41,male,7471.0,85.0,686.0,6.3,72.0,3.7
U0087,43,male,9984.0,103.0,852.0,7.8,75.0,3.8
U0088,42,male,2924.0,14.0,239.0,6.2,42.0,1.2
U0089,62,female,3699.0,31.0,334.0,7.2,42.0,1.7
U0090,58,female,10224.0,112.0,900.0,6.3,83.0,3.6
U0091,46,female,,140.0,1140.0,8.1,89.0,3.9
U0092,32,female,11913.0,133.0,1028.0,7.1,97.0,5.3
U0093,62,female,6335.0,62.0,547.0,,,1.9
U0094,18,female,7202.0,78.0,635.0,7.5,68.0,4.2
U0095,42,male,10123.0,,915.0,7.8,94.0,3.9
U0096,24,female,3099.0,25.0,235.0,6.8,46.0,1.7
U0097,26,female,12349.0,125.0,1069.0,6.8,81.0,
U0098,41,female,8567.0,85.0,753.0,8.5,61.0,3.8
U0099,18,female,11173.0,118.0,974.0,7.5,79.0,4.3
U0100,61,male,5174.0,48.0,443.0,6.9,61.0,2.5
U0101,25,male,9606.0,98.0,841.0,8.6,80.0,3.5
U0102,41,female,11230.0,121.0,,6.9,92.0,4.7
U0103,28,male,5554.0,56.0,515.0,7.0,56.0,2.3
U0104,34,male,13779.0,146.0,1183.0,8.0,112.0,5.3
U0105,25,female,12532.0,137.0,1096.0,7.6,91.0,5.1
U0106,52,female,7716.0,86.0,724.0,7.5,70.0,4.1
U0107,52,female,3762.0,24.0,309.0,6.4,36.0,2.4
U0108,50,female,3890.0,45.0,382.0,6.8,55.0,2.3
U0109,22,female,7879.0,72.0,661.0,7.4,60.0,3.3
U0110,59,male,7883.0,78.0,681.0,8.4,75.0,3.5
U0111,56,female,7570.0,83.0,694.0,8.6,70.0,3.7
U0112,58,female,3817.0,33.0,360.0,7.0,51.0,1.7
U0113,45,female,5716.0,58.0,504.0,8.0,56.0,3.2
U0114,24,male,2764.0,16.0,212.0,6.2,32.0,
U0115,26,female,2499.0,13.0,207.0,8.6,31.0,1.9
U0116,25,female,9646.0,99.0,821.0,7.3,66.0,4.2
U0117,29,female,7238.0,69.0,597.0,7.2,60.0,2.8
U0118,51,male,6383.0,64.0,581.0,7.6,65.0,2.1
U0119,50,female,4006.0,25.0,304.0,,38.0,1.9
U0120,40,female,,38.0,358.0,6.8,57.0,1.0
U0121,41,female,2716.0,23.0,268.0,5.2,40.0,1.7
U0122,54,male,8885.0,88.0,749.0,7.9,72.0,
U0123,52,female,4932.0,42.0,427.0,6.3,48.0,4.0
U0124,61,female,3420.0,30.0,328.0,7.5,54.0,2.5
U0125,57,female,3551.0,32.0,324.0,,43.0,2.1
U0126,39,male,7217.0,66.0,562.0,,62.0,3.8
U0127,44,female,9663.0,102.0,805.0,8.2,84.0,4.3
U0128,52,female,3595.0,29.0,296.0,6.5,48.0,1.4
U0129,18,female,4081.0,28.0,324.0,8.0,35.0,1.8
U0130,52,male,11787.0,112.0,993.0,7.8,91.0,5.0
U0131,54,male,,86.0,722.0,7.2,75.0,3.0
U0132,64,female,4460.0,42.0,449.0,7.9,45.0,2.5
U0133,31,male,3332.0,27.0,261.0,6.3,,2.3
U0134,20,male,8018.0,,701.0,5.6,,
U0135,18,male,,26.0,281.0,5.8,36.0,2.0
U0136,22,female,3135.0,28.0,292.0,8.0,40.0,2.3
U0137,43,female,7082.0,79.0,684.0,7.4,65.0,3.6
U0138,31,male,12842.0,,1116.0,7.9,94.0,5.1
U0139,56,male,10656.0,110.0,917.0,8.3,81.0,4.2
U0140,44,male,4446.0,43.0,417.0,7.2,47.0,2.6
U0141,26,female,9124.0,93.0,791.0,7.2,78.0,2.7
U0142,32,female,8971.0,83.0,719.0,7.0,68.0,4.4
U0143,32,male,8851.0,97.0,792.0,6.4,70.0,3.7
U0144,43,male,9096.0,94.0,780.0,6.6,76.0,3.4
U0145,59,male,2005.0,20.0,209.0,6.8,44.0,1.9
U0146,30,male,9441.0,100.0,811.0,7.3,68.0,4.2
U0147,49,female,12868.0,136.0,1112.0,8.2,106.0,4.4
U0148,56,male,10813.0,122.0,977.0,7.5,101.0,4.4
U0149,49,female,8471.0,89.0,759.0,6.5,,3.6
U0150,21,male,2760.0,,231.0,7.0,31.0,1.7
U0151,47,male,3420.0,25.0,319.0,7.0,42.0,2.7
U0152,54,male,2546.0,25.0,296.0,6.8,48.0,1.7
U0153,40,male,2972.0,21.0,245.0,6.9,41.0,1.7
U0154,56,male,5019.0,44.0,446.0,8.6,54.0,
U0155,62,female,3604.0,30.0,356.0,5.9,54.0,1.6
U0156,32,male,3755.0,26.0,324.0,6.1,45.0,2.2
U0157,60,male,4190.0,41.0,396.0,5.6,48.0,2.0
U0158,46,male,5456.0,50.0,432.0,7.1,59.0,2.5
U0159,53,female,12572.0,143.0,1114.0,6.2,108.0,5.0
U0160,30,female,3260.0,36.0,316.0,7.0,45.0,2.0
U0161,49,female,7766.0,75.0,688.0,7.2,70.0,3.4
U0162,24,female,13420.0,146.0,1156.0,7.4,96.0,5.2
U0163,39,male,9353.0,,826.0,7.8,72.0,4.2
U0164,45,male,6417.0,70.0,604.0,7.4,73.0,4.3
U0165,19,male,2434.0,12.0,180.0,8.0,23.0,2.2
U0166,59,female,9766.0,112.0,894.0,8.0,96.0,3.9
U0167,62,male,6936.0,64.0,586.0,7.1,64.0,3.6
U0168,23,male,2075.0,10.0,191.0,4.9,36.0,1.0
U0169,45,female,9621.0,110.0,888.0,8.2,84.0,3.7
U0170,45,female,5653.0,54.0,505.0,7.8,61.0,3.0
U0171,61,female,5302.0,35.0,406.0,8.1,52.0,2.7
U0172,61,male,12645.0,130.0,1042.0,5.9,94.0,5.1
U0173,37,male,5261.0,55.0,483.0,7.2,,2.3
U0174,47,female,12493.0,131.0,1075.0,8.3,94.0,4.5
U0175,28,male,3692.0,40.0,373.0,7.8,49.0,2.2
U0176,45,female,6094.0,68.0,557.0,7.6,64.0,2.8
U0177,42,female,4196.0,38.0,371.0,7.0,49.0,2.7
U0178,56,male,11051.0,115.0,954.0,6.8,84.0,4.2
U0179,50,female,3616.0,26.0,284.0,6.8,37.0,1.8
U0180,18,female,4218.0,33.0,328.0,7.2,40.0,1.4
U0181,44,female,11277.0,118.0,981.0,8.3,89.0,
U0182,30,male,8693.0,100.0,818.0,6.1,71.0,3.9
U0183,58,female,3860.0,34.0,328.0,7.1,51.0,1.0
U0184,20,female,4969.0,41.0,408.0,5.8,48.0,2.6
U0185,56,female,11847.0,125.0,1040.0,7.9,,4.4
U0186,23,female,8826.0,91.0,786.0,6.5,70.0,4.1
U0187,25,female,11280.0,119.0,982.0,6.5,78.0,4.4
U0188,44,female,5066.0,46.0,445.0,8.5,45.0,2.1
U0189,26,female,2993.0,35.0,320.0,5.7,45.0,2.8
U0190,54,male,13987.0,146.0,1208.0,7.4,100.0,6.0
U0191,50,male,7150.0,73.0,607.0,7.2,63.0,3.1
U0192,59,female,8239.0,81.0,742.0,5.7,74.0,
U0193,61,male,9622.0,115.0,900.0,8.1,100.0,3.8
U0194,41,male,9905.0,95.0,841.0,6.9,,3.1
U0195,32,female,5692.0,62.0,510.0,6.3,68.0,3.4
U0196,49,male,,101.0,885.0,8.3,80.0,3.8
U0197,49,female,11240.0,108.0,939.0,6.6,87.0,5.0
U0198,41,female,2038.0,20.0,175.0,7.1,43.0,2.0
U0199,58,female,4809.0,40.0,384.0,7.0,57.0,2.5
U0200,29,female,9756.0,109.0,862.0,7.5,82.0,4.0
U0201,56,female,8840.0,,762.0,7.3,78.0,4.1
U0202,19,male,13357.0,149.0,1182.0,7.9,102.0,4.7
U0203,20,female,3264.0,24.0,275.0,5.0,38.0,2.6
U0204,54,male,10512.0,110.0,939.0,6.9,84.0,4.3
U0205,34,female,3629.0,38.0,325.0,6.1,53.0,2.9
U0206,19,female,11675.0,123.0,1014.0,8.6,88.0,4.5
U0207,19,female,10758.0,116.0,927.0,7.7,78.0,4.4
U0208,45,male,,117.0,885.0,7.5,83.0,4.3
U0209,40,female,12598.0,139.0,1122.0,9.2,107.0,5.2
U0210,54,female,9735.0,93.0,825.0,5.9,75.0,4.8
U0211,49,female,2840.0,24.0,271.0,7.9,46.0,1.6
U0212,50,female,12067.0,141.0,1070.0,7.7,102.0,4.8
U0213,18,male,6422.0,59.0,545.0,6.5,57.0,2.9
U0214,36,female,3256.0,32.0,320.0,6.4,53.0,1.0
U0215,19,male,6887.0,68.0,617.0,6.8,,2.8
U0216,61,female,9329.0,99.0,832.0,8.6,86.0,3.6
U0217,43,male,12421.0,124.0,1062.0,,90.0,6.0
U0218,49,male,,84.0,730.0,7.9,68.0,3.6
U0219,23,female,11648.0,132.0,,7.1,103.0,4.9
U0220,49,female,13091.0,,1164.0,7.9,102.0,4.3
U0221,21,male,12966.0,148.0,1181.0,8.5,98.0,5.0
U0222,28,female,3190.0,27.0,293.0,7.7,41.0,2.4
U0223,34,female,6900.0,59.0,586.0,6.1,57.0,4.2
U0224,55,female,12419.0,127.0,1072.0,8.4,102.0,4.4
U0225,41,male,14431.0,146.0,1199.0,7.8,104.0,4.4
U0226,22,female,13820.0,148.0,,8.2,92.0,4.9
U0227,51,female,,117.0,959.0,7.2,85.0,4.0
U0228,23,female,6961.0,76.0,609.0,8.4,63.0,2.8
U0229,39,male,8530.0,87.0,741.0,7.6,76.0,4.0
U0230,28,female,8075.0,84.0,709.0,6.8,60.0,3.6
U0231,33,male,5469.0,48.0,487.0,6.7,53.0,2.0
U0232,50,female,,34.0,329.0,7.5,51.0,2.7
U0233,26,male,3576.0,30.0,333.0,,45.0,3.0
U0234,23,female,12708.0,147.0,1137.0,7.8,98.0,4.2
U0235,33,female,3209.0,24.0,305.0,6.5,44.0,2.5
U0236,46,male,6183.0,57.0,543.0,7.9,54.0,2.7
U0237,20,male,8264.0,95.0,769.0,6.9,76.0,3.1
U0238,37,male,10955.0,125.0,952.0,7.1,90.0,3.7
U0239,53,female,5367.0,59.0,524.0,9.1,60.0,2.4
U0240,36,female,7541.0,78.0,699.0,7.6,,3.0
U0241,43,female,1406.0,13.0,158.0,6.6,38.0,1.5
U0242,20,female,9084.0,87.0,762.0,7.1,62.0,4.8
U0243,36,male,2748.0,,222.0,6.6,41.0,1.5
U0244,37,female,12350.0,130.0,1031.0,8.7,97.0,4.1
U0245,49,female,10745.0,124.0,965.0,8.2,90.0,4.2
U0246,24,female,10997.0,,963.0,7.1,,4.8
U0247,58,female,10335.0,106.0,909.0,7.3,80.0,4.0
U0248,50,female,8309.0,90.0,727.0,6.3,,3.9
U0249,57,female,4649.0,52.0,432.0,7.2,58.0,2.5
U0250,56,female,9802.0,104.0,901.0,4.3,84.0,4.0
U0251,35,male,2042.0,15.0,171.0,5.5,33.0,2.4
U0252,57,female,7248.0,76.0,630.0,7.3,63.0,2.7
U0253,18,female,,149.0,1170.0,5.7,100.0,4.6
U0254,28,female,10626.0,109.0,884.0,9.4,78.0,3.8
U0255,45,female,1485.0,,183.0,5.9,36.0,1.7
U0256,42,male,8090.0,,663.0,7.7,72.0,3.4
U0257,40,male,2434.0,11.0,173.0,,29.0,2.0
U0258,48,male,8755.0,90.0,787.0,7.6,77.0,3.6
U0259,47,male,13168.0,144.0,1129.0,7.8,94.0,
U0260,59,male,8257.0,79.0,693.0,6.9,64.0,
U0261,52,male,11519.0,124.0,989.0,6.6,95.0,5.4
U0262,24,female,9106.0,97.0,,7.0,72.0,3.2
U0263,33,male,2844.0,15.0,205.0,6.9,28.0,1.3
U0264,43,male,5107.0,36.0,400.0,7.0,51.0,2.4
U0265,19,female,,91.0,750.0,6.6,71.0,4.6
U0266,18,male,9457.0,97.0,844.0,8.3,61.0,3.3
U0267,29,female,11422.0,129.0,1011.0,6.5,95.0,4.6
U0268,22,female,4056.0,33.0,377.0,,36.0,1.7
U0269,54,male,10046.0,111.0,,8.2,78.0,4.3
U0270,49,female,5261.0,43.0,428.0,7.2,47.0,1.5
U0271,26,male,5710.0,56.0,538.0,8.4,53.0,2.2
U0272,58,male,3828.0,33.0,393.0,7.2,48.0,2.7
U0273,52,female,,74.0,704.0,8.4,59.0,3.4
U0274,36,female,2928.0,27.0,271.0,4.7,34.0,1.5
U0275,33,male,5847.0,53.0,,7.8,49.0,2.7
U0276,20,female,7908.0,85.0,720.0,7.8,63.0,3.4
U0277,37,female,7208.0,66.0,609.0,7.6,64.0,3.4
U0278,41,male,11753.0,116.0,964.0,8.2,84.0,3.5
U0279,50,male,12174.0,133.0,1074.0,7.3,100.0,4.2
U0280,41,female,12483.0,148.0,1131.0,,108.0,4.5
U0281,28,male,11281.0,125.0,982.0,9.1,91.0,4.8
U0282,25,male,10886.0,102.0,887.0,6.1,61.0,4.2
U0283,53,male,5039.0,51.0,462.0,8.0,55.0,3.2
U0284,55,male,5031.0,37.0,419.0,6.9,49.0,2.8
U0285,57,male,11917.0,132.0,,7.2,97.0,4.5
U0286,37,male,3490.0,33.0,320.0,5.9,33.0,2.0
U0287,52,male,13715.0,145.0,1195.0,8.2,99.0,5.8
U0288,42,female,11105.0,115.0,956.0,8.9,79.0,5.1
U0289,52,male,12221.0,127.0,1054.0,7.4,89.0,4.7
U0290,42,female,6272.0,62.0,550.0,,58.0,2.4
U0291,46,female,13502.0,141.0,1158.0,7.8,96.0,4.1
U0292,35,female,10746.0,109.0,894.0,6.3,77.0,3.2
U0293,63,male,2765.0,14.0,219.0,6.6,39.0,1.9
U0294,35,male,5618.0,58.0,535.0,6.5,54.0,2.9
U0295,19,female,10612.0,107.0,906.0,6.8,78.0,3.9
U0296,52,male,4054.0,39.0,351.0,6.6,48.0,2.9
U0297,33,female,7806.0,81.0,716.0,7.0,59.0,3.3
U0298,58,male,10431.0,112.0,930.0,8.3,82.0,3.9
U0299,53,male,6621.0,72.0,618.0,7.2,65.0,3.6
U0300,50,female,3107.0,35.0,329.0,5.7,45.0,
U0301,21,female,5522.0,46.0,432.0,8.0,40.0,2.5
U0302,50,female,2009.0,16.0,207.0,7.0,41.0,1.8
U0303,31,male,12425.0,136.0,1119.0,8.0,96.0,5.2
U0304,38,female,9220.0,,813.0,8.1,75.0,4.9
U0305,37,male,10392.0,112.0,875.0,7.5,,4.1
U0306,25,male,6017.0,62.0,546.0,6.7,51.0,2.2
U0307,24,male,13625.0,141.0,1160.0,8.1,100.0,5.4
U0308,20,female,10650.0,117.0,913.0,8.1,93.0,4.3
U0309,34,female,12142.0,121.0,1032.0,8.0,84.0,4.7
U0310,50,female,2930.0,16.0,242.0,7.4,44.0,1.7
U0311,29,male,7223.0,76.0,614.0,7.3,59.0,
U0312,39,male,11105.0,117.0,1000.0,6.8,84.0,4.5
U0313,39,female,11460.0,120.0,1003.0,7.1,95.0,4.3
U0314,63,male,9241.0,92.0,750.0,8.5,78.0,
U0315,47,male,12775.0,133.0,,7.8,99.0,4.7
U0316,55,female,13673.0,148.0,,7.0,104.0,5.2
U0317,55,female,,113.0,935.0,6.5,78.0,4.3
U0318,62,female,7780.0,76.0,653.0,6.2,82.0,3.3
U0319,25,male,2242.0,16.0,220.0,7.4,32.0,2.2
U0320,44,male,9720.0,119.0,910.0,7.7,89.0,4.5
U0321,44,male,4850.0,43.0,405.0,8.5,47.0,2.4
U0322,51,male,10408.0,115.0,909.0,8.0,92.0,3.7
U0323,38,male,6466.0,67.0,,7.7,65.0,3.3
U0324,47,female,2533.0,18.0,234.0,8.3,31.0,1.5
U0325,50,male,5068.0,57.0,475.0,6.2,59.0,
U0326,45,male,11610.0,124.0,956.0,6.5,95.0,3.9
U0327,64,male,5092.0,50.0,455.0,7.5,64.0,2.7
U0328,50,female,5406.0,57.0,517.0,6.8,62.0,3.9
U0329,22,female,3913.0,34.0,316.0,7.1,45.0,1.9
U0330,36,female,10780.0,125.0,967.0,8.6,87.0,4.7
U0331,21,male,8433.0,,744.0,8.0,62.0,
U0332,52,female,11180.0,117.0,914.0,8.8,87.0,4.1
U0333,34,female,4043.0,34.0,337.0,6.2,38.0,1.0
U0334,61,female,5474.0,48.0,468.0,7.8,,2.9
U0335,45,male,12463.0,128.0,1049.0,7.1,89.0,4.8
U0336,47,female,8439.0,,714.0,8.7,69.0,3.7
U0337,46,male,9113.0,89.0,746.0,7.8,76.0,3.7
U0338,63,male,4017.0,36.0,322.0,,46.0,2.7
U0339,23,female,10255.0,113.0,900.0,7.1,90.0,4.1
U0340,52,male,7859.0,83.0,717.0,6.9,77.0,4.5
U0341,58,female,7678.0,77.0,712.0,7.6,76.0,3.7
U0342,54,male,4688.0,37.0,386.0,8.4,46.0,2.8
U0343,41,female,12221.0,132.0,1082.0,,95.0,4.8
U0344,46,female,13158.0,,1146.0,8.1,97.0,
U0345,63,female,9542.0,92.0,758.0,7.1,80.0,3.0
U0346,48,male,3598.0,39.0,387.0,7.3,40.0,1.8
U0347,52,female,3301.0,31.0,294.0,7.8,,2.5
U0348,50,male,2466.0,12.0,211.0,6.9,33.0,1.6
U0349,38,female,11233.0,110.0,942.0,7.3,84.0,3.8
U0350,49,male,10930.0,114.0,963.0,8.1,89.0,
U0351,40,male,2060.0,11.0,195.0,6.5,31.0,1.2
U0352,50,female,6210.0,63.0,556.0,6.8,58.0,2.9
U0353,20,female,2549.0,15.0,220.0,6.7,31.0,1.2
U0354,35,female,10925.0,116.0,975.0,8.1,89.0,
U0355,42,female,11843.0,132.0,1044.0,7.5,94.0,4.8
U0356,59,female,1781.0,11.0,196.0,6.6,40.0,1.0
U0357,48,male,10766.0,120.0,946.0,7.7,94.0,5.1
U0358,20,female,1942.0,11.0,173.0,6.4,29.0,1.5
U0359,57,female,9751.0,102.0,861.0,8.7,82.0,4.2
U0360,63,male,11167.0,110.0,904.0,9.1,88.0,4.5
U0361,41,female,9711.0,106.0,890.0,7.2,87.0,4.2
U0362,49,female,11110.0,120.0,984.0,7.0,88.0,4.3
U0363,64,male,2905.0,15.0,292.0,6.4,46.0,1.9
U0364,39,female,13463.0,136.0,1174.0,8.2,97.0,5.0
U0365,40,female,10842.0,113.0,935.0,7.5,81.0,4.5
U0366,19,female,1723.0,10.0,195.0,5.6,29.0,1.4
U0367,44,male,4333.0,42.0,408.0,6.8,44.0,2.1
U0368,59,female,4243.0,49.0,420.0,7.2,50.0,1.6
U0369,19,male,4021.0,,342.0,7.7,47.0,2.2
U0370,43,female,3261.0,26.0,256.0,8.2,46.0,2.0
U0371,34,male,12385.0,,1085.0,7.4,94.0,5.8
U0372,57,female,,17.0,218.0,6.3,40.0,2.0
U0373,50,male,6512.0,66.0,579.0,7.0,60.0,2.6
U0374,26,male,4972.0,51.0,480.0,6.2,52.0,2.0
U0375,60,male,10266.0,107.0,906.0,7.0,95.0,4.3
U0376,56,male,14663.0,146.0,1207.0,7.4,109.0,
U0377,46,male,11806.0,129.0,1057.0,7.9,93.0,4.4
U0378,59,male,9229.0,96.0,785.0,6.8,79.0,3.4
U0379,43,female,6778.0,63.0,550.0,7.8,58.0,2.8
U0380,52,female,8619.0,93.0,774.0,8.3,70.0,4.0
U0381,42,male,4526.0,34.0,351.0,6.1,43.0,1.3
U0382,41,male,,76.0,608.0,6.1,70.0,3.7
U0383,30,male,5471.0,55.0,509.0,6.6,49.0,2.5
U0384,24,male,3479.0,,326.0,,39.0,1.7
U0385,53,female,13656.0,148.0,1181.0,8.9,99.0,5.7
U0386,62,male,1459.0,17.0,144.0,6.6,45.0,1.4
U0387,37,female,,48.0,458.0,7.4,45.0,2.1
U0388,18,female,6137.0,58.0,566.0,7.4,56.0,2.0
U0389,25,male,6236.0,55.0,539.0,6.4,58.0,3.1
U0390,63,male,5802.0,47.0,499.0,,54.0,3.0
U0391,33,female,12955.0,145.0,1153.0,7.8,96.0,4.8
U0392,31,female,5108.0,63.0,499.0,7.3,60.0,3.3
U0393,29,male,10158.0,101.0,878.0,6.4,84.0,4.1
U0394,40,male,5022.0,49.0,473.0,6.5,59.0,3.2
U0395,32,male,4088.0,43.0,376.0,6.9,48.0,1.8
U0396,45,female,10213.0,105.0,864.0,7.2,77.0,3.6
U0397,51,female,9712.0,88.0,760.0,6.3,73.0,3.6
U0398,19,male,12506.0,136.0,1079.0,7.2,83.0,4.7
U0399,49,female,3686.0,26.0,,5.8,40.0,2.6
U0400,40,female,10621.0,119.0,,8.7,90.0,4.5
U0401,39,male,5342.0,61.0,526.0,6.8,56.0,2.3
U0402,42,male,12252.0,127.0,1087.0,,89.0,4.7
U0403,39,female,2803.0,18.0,235.0,6.0,37.0,1.5
U0404,39,female,4337.0,42.0,391.0,7.1,47.0,1.9
U0405,59,male,12223.0,122.0,1038.0,8.3,97.0,4.6
U0406,23,male,8108.0,94.0,739.0,6.6,65.0,3.5
U0407,32,male,2000.0,19.0,193.0,6.0,39.0,1.2
U0408,60,male,2004.0,15.0,178.0,6.3,39.0,1.2
U0409,54,male,11362.0,124.0,978.0,6.5,95.0,4.9
U0410,50,female,,130.0,1099.0,8.1,88.0,5.1
U0411,25,female,7315.0,74.0,629.0,7.8,66.0,
U0412,61,female,3369.0,29.0,323.0,,49.0,1.8
U0413,61,female,5975.0,66.0,564.0,7.8,74.0,
U0414,22,male,,55.0,518.0,7.8,48.0,2.5
U0415,56,male,12757.0,145.0,1156.0,,101.0,5.5
U0416,21,male,1978.0,19.0,186.0,5.8,25.0,1.0
U0417,23,female,11170.0,122.0,969.0,7.1,81.0,5.2
U0418,62,female,13662.0,148.0,1203.0,8.3,,4.7
U0419,49,female,2425.0,21.0,187.0,7.1,42.0,2.1
U0420,47,male,13849.0,147.0,1192.0,7.1,99.0,4.7
U0421,64,female,2559.0,20.0,244.0,8.1,43.0,1.4
U0422,52,male,12321.0,,1077.0,7.2,94.0,3.7
U0423,57,male,5333.0,48.0,486.0,6.4,46.0,3.5
U0424,33,male,7166.0,62.0,582.0,6.3,49.0,3.3
U0425,30,male,6304.0,65.0,578.0,7.0,64.0,3.2
U0426,59,male,11027.0,113.0,,8.3,92.0,4.1
U0427,47,male,11837.0,,1067.0,7.0,91.0,4.3
U0428,36,female,7971.0,65.0,656.0,7.5,59.0,3.6
U0429,34,male,12192.0,127.0,1045.0,7.9,87.0,4.1
