User_ID,Age,Gender,Daily_Steps,Workout_Min,Sleep_Hrs,Protein_Intake,Water_Intake
U0036,61,female,782.0,31.0,7.0,67.0,2.0
U0037,20,male,878.0,56.0,5.0,67.0,2.2
U0038,54,female,697.0,53.0,9.0,105.0,3.1
U0039,24,male,1514.0,115.0,5.0,119.0,2.7
U0040,38,female,1523.0,143.0,8.0,66.0,2.2
U0041,26,male,1055.0,61.0,,16.0,1.9
U0042,56,male,855.0,83.0,4.0,48.0,3.3
U0043,35,female,,55.0,6.0,87.0,2.8
U0044,21,male,1138.0,22.0,9.0,67.0,2.0
U0045,42,male,878.0,16.0,9.0,65.0,1.4
U0046,31,female,1179.0,77.0,6.0,24.0,4.0
U0047,26,female,1005.0,21.0,6.0,53.0,4.1
U0048,43,female,1398.0,107.0,8.0,21.0,1.5
U0049,19,male,575.0,16.0,5.0,17.0,1.7
U0050,37,male,730.0,14.0,4.0,89.0,1.6
U0051,45,male,1461.0,113.0,6.0,50.0,4.5
U0052,64,female,1771.0,47.0,4.0,43.0,4.0
U0053,24,male,801.0,112.0,6.0,55.0,0.8
U0054,61,male,1225.0,96.0,5.0,97.0,4.2
U0055,25,male,714.0,90.0,4.0,38.0,0.7
U0056,64,male,1681.0,15.0,7.0,25.0,1.6
U0057,52,male,568.0,97.0,5.0,,4.6
U0058,31,male,892.0,110.0,4.0,14.0,4.4
U0059,34,male,,0.0,6.0,39.0,4.0
U0060,53,female,766.0,40.0,6.0,59.0,2.6
U0061,57,female,1592.0,47.0,5.0,,1.9
U0062,21,female,1110.0,107.0,5.0,116.0,4.5
U0063,19,male,1508.0,102.0,6.0,22.0,3.5
U0064,23,male,1461.0,127.0,4.0,108.0,1.8
U0065,59,female,1227.0,29.0,7.0,58.0,2.6
U0066,21,male,1172.0,44.0,8.0,98.0,4.5
U0067,46,female,922.0,79.0,5.0,59.0,4.6
U0068,35,male,1697.0,38.0,6.0,23.0,3.5
U0069,43,male,614.0,44.0,4.0,117.0,3.8
U0070,61,female,719.0,77.0,5.0,55.0,0.7
U0071,51,female,530.0,80.0,4.0,99.0,3.2
U0072,27,female,1653.0,139.0,5.0,91.0,3.6
U0073,53,female,1116.0,92.0,6.0,93.0,0.6
U0074,31,female,1038.0,31.0,4.0,43.0,4.3
U0075,48,male,1238.0,23.0,6.0,80.0,4.7
U0076,32,male,1525.0,115.0,4.0,56.0,1.6
U0077,25,male,1370.0,12.0,5.0,69.0,4.3
U0078,31,female,600.0,147.0,8.0,83.0,3.5
U0079,40,female,1581.0,78.0,8.0,88.0,3.1
U0080,57,female,1191.0,,7.0,90.0,4.3
U0081,38,female,1440.0,52.0,7.0,20.0,1.8
U0082,33,female,840.0,67.0,9.0,107.0,4.1
U0083,62,female,1360.0,33.0,6.0,100.0,1.9
U0084,35,male,1543.0,27.0,4.0,94.0,4.0
U0085,64,male,1778.0,49.0,,104.0,2.5
U0086,41,male,537.0,129.0,5.0,59.0,1.0
U0087,43,male,1159.0,110.0,8.0,13.0,2.2
U0088,42,male,1427.0,93.0,4.0,50.0,1.6
U0089,62,female,1549.0,46.0,9.0,68.0,1.0
U0090,58,female,953.0,25.0,8.0,69.0,1.0
U0091,46,female,1236.0,83.0,4.0,90.0,4.0
U0092,32,female,1318.0,105.0,7.0,71.0,4.5
U0093,62,female,1272.0,91.0,7.0,93.0,4.7
U0094,18,female,512.0,119.0,6.0,34.0,4.3
U0095,42,male,1414.0,74.0,9.0,113.0,4.2
U0096,24,female,1420.0,121.0,4.0,96.0,0.8
U0097,26,female,1324.0,40.0,9.0,,4.1
U0098,41,female,,51.0,5.0,42.0,4.0
U0099,18,female,831.0,81.0,9.0,28.0,1.1
U0100,61,male,760.0,133.0,7.0,66.0,3.5
U0101,25,male,1728.0,73.0,6.0,24.0,2.5
U0102,41,female,1196.0,65.0,,50.0,4.6
U0103,28,male,1186.0,23.0,8.0,78.0,3.6
U0104,34,male,1449.0,27.0,7.0,89.0,4.8
U0105,25,female,886.0,116.0,4.0,69.0,1.0
U0106,52,female,1320.0,113.0,6.0,118.0,0.7
U0107,52,female,967.0,60.0,4.0,105.0,4.9
U0108,50,female,568.0,68.0,5.0,31.0,0.9
U0109,22,female,1627.0,113.0,5.0,52.0,2.2
U0110,59,male,1684.0,74.0,7.0,41.0,3.4
U0111,56,female,699.0,,6.0,22.0,4.5
U0112,58,female,715.0,129.0,9.0,47.0,1.6
U0113,45,female,711.0,14.0,6.0,35.0,0.6
U0114,24,male,1007.0,104.0,,90.0,2.8
U0115,26,female,515.0,147.0,6.0,14.0,2.6
U0116,25,female,1383.0,97.0,7.0,58.0,1.9
U0117,29,female,831.0,34.0,4.0,106.0,4.4
U0118,51,male,1216.0,30.0,7.0,100.0,3.9
U0119,50,female,1050.0,126.0,9.0,14.0,4.4
U0120,40,female,1441.0,18.0,4.0,110.0,1.2
U0121,41,female,755.0,23.0,9.0,80.0,3.6
U0122,54,male,1491.0,83.0,8.0,57.0,4.9
U0123,52,female,1227.0,91.0,8.0,27.0,3.3
U0124,61,female,1379.0,144.0,4.0,104.0,1.3
U0125,57,female,1314.0,146.0,7.0,15.0,5.0
U0126,39,male,,117.0,9.0,75.0,2.9
U0127,44,female,,46.0,9.0,86.0,4.3
U0128,52,female,1499.0,102.0,5.0,51.0,1.2
U0129,18,female,970.0,120.0,9.0,61.0,3.5
U0130,52,male,1189.0,,,20.0,4.6
U0131,54,male,1199.0,144.0,5.0,35.0,2.9
U0132,64,female,1006.0,41.0,7.0,30.0,1.8
U0133,31,male,1491.0,110.0,6.0,75.0,1.1
U0134,20,male,1509.0,28.0,9.0,49.0,1.8
U0135,18,male,1303.0,123.0,6.0,65.0,2.1
U0136,22,female,1330.0,16.0,8.0,60.0,3.7
U0137,43,female,,,8.0,29.0,1.3
U0138,31,male,1731.0,,4.0,90.0,1.0
U0139,56,male,668.0,56.0,9.0,89.0,2.2
U0140,44,male,1477.0,103.0,5.0,66.0,2.6
U0141,26,female,,38.0,6.0,115.0,3.3
U0142,32,female,1015.0,95.0,7.0,14.0,3.7
U0143,32,male,1613.0,35.0,9.0,23.0,4.5
U0144,43,male,952.0,113.0,4.0,33.0,1.8
U0145,59,male,559.0,36.0,7.0,77.0,2.9
U0146,30,male,,13.0,6.0,61.0,2.1
U0147,49,female,1750.0,122.0,9.0,57.0,0.5
U0148,56,male,1523.0,82.0,6.0,97.0,3.1
U0149,49,female,973.0,72.0,9.0,56.0,4.2
U0150,21,male,1256.0,101.0,9.0,69.0,0.7
U0151,47,male,1281.0,80.0,6.0,82.0,0.5
U0152,54,male,1602.0,82.0,6.0,12.0,3.8
U0153,40,male,932.0,43.0,7.0,18.0,3.6
U0154,56,male,1676.0,67.0,4.0,91.0,2.3
U0155,62,female,900.0,47.0,6.0,109.0,3.5
U0156,32,male,556.0,56.0,8.0,92.0,4.8
U0157,60,male,1502.0,74.0,4.0,33.0,1.6
U0158,46,male,685.0,21.0,8.0,13.0,1.6
U0159,53,female,897.0,131.0,7.0,18.0,1.3
U0160,30,female,1104.0,45.0,6.0,106.0,3.8
U0161,49,female,1287.0,,4.0,10.0,2.1
U0162,24,female,657.0,30.0,6.0,44.0,4.9
U0163,39,male,1088.0,138.0,9.0,83.0,3.7
U0164,45,male,965.0,119.0,6.0,21.0,2.2
U0165,19,male,945.0,55.0,4.0,27.0,1.2
U0166,59,female,1300.0,37.0,6.0,87.0,3.2
U0167,62,male,1596.0,20.0,6.0,,1.8
U0168,23,male,1428.0,109.0,5.0,83.0,4.6
U0169,45,female,516.0,93.0,5.0,27.0,2.5
U0170,45,female,1230.0,137.0,4.0,33.0,1.8
U0171,61,female,825.0,135.0,4.0,10.0,3.1
U0172,61,male,1494.0,7.0,9.0,103.0,1.1
U0173,37,male,1112.0,71.0,9.0,88.0,3.0
U0174,47,female,1045.0,118.0,6.0,81.0,0.8
U0175,28,male,1095.0,33.0,8.0,108.0,3.2
U0176,45,female,1420.0,143.0,4.0,91.0,2.9
U0177,42,female,1341.0,104.0,6.0,114.0,2.8
U0178,56,male,1725.0,140.0,8.0,25.0,3.6
U0179,50,female,843.0,86.0,5.0,94.0,0.7
U0180,18,female,1358.0,149.0,9.0,24.0,2.6
U0181,44,female,1741.0,63.0,4.0,71.0,2.5
U0182,30,male,944.0,1.0,6.0,14.0,2.6
U0183,58,female,721.0,108.0,5.0,54.0,4.9
U0184,20,female,1091.0,25.0,7.0,61.0,1.1
U0185,56,female,1530.0,82.0,5.0,80.0,3.6
U0186,23,female,1795.0,106.0,6.0,16.0,2.3
U0187,25,female,1517.0,68.0,9.0,36.0,2.8
U0188,44,female,515.0,96.0,8.0,98.0,3.9
U0189,26,female,,29.0,,95.0,1.2
U0190,54,male,1302.0,7.0,7.0,,3.9
U0191,50,male,520.0,37.0,9.0,26.0,0.8
U0192,59,female,727.0,80.0,7.0,114.0,2.7
U0193,61,male,1507.0,107.0,4.0,53.0,3.8
U0194,41,male,1308.0,64.0,,,1.4
U0195,32,female,1657.0,,7.0,99.0,4.0
U0196,49,male,903.0,89.0,5.0,82.0,1.3
U0197,49,female,1589.0,94.0,8.0,14.0,4.1
U0198,41,female,936.0,71.0,6.0,112.0,2.6
U0199,58,female,,42.0,9.0,42.0,3.6
U0200,29,female,1433.0,45.0,5.0,13.0,4.6
U0201,56,female,758.0,124.0,4.0,101.0,2.3
U0202,19,male,602.0,38.0,7.0,35.0,1.5
U0203,20,female,,50.0,5.0,77.0,4.4
U0204,54,male,1268.0,3.0,6.0,25.0,1.2
U0205,34,female,1624.0,120.0,5.0,110.0,3.3
U0206,19,female,1721.0,,4.0,31.0,4.7
U0207,19,female,1312.0,76.0,8.0,45.0,3.5
U0208,45,male,725.0,132.0,7.0,111.0,1.4
U0209,40,female,1442.0,54.0,6.0,67.0,1.2
U0210,54,female,962.0,19.0,7.0,64.0,1.6
U0211,49,female,736.0,33.0,7.0,44.0,2.3
U0212,50,female,1549.0,121.0,9.0,34.0,1.2
U0213,18,male,1644.0,108.0,7.0,81.0,4.1
U0214,36,female,1005.0,125.0,,,2.1
U0215,19,male,1705.0,53.0,5.0,70.0,4.7
U0216,61,female,,144.0,8.0,27.0,4.3
U0217,43,male,1266.0,132.0,4.0,67.0,4.6
U0218,49,male,1133.0,88.0,6.0,85.0,1.8
U0219,23,female,1490.0,,5.0,66.0,3.1
U0220,49,female,1117.0,52.0,7.0,106.0,1.9
U0221,21,male,772.0,49.0,4.0,96.0,1.7
U0222,28,female,731.0,71.0,6.0,72.0,3.2
U0223,34,female,1267.0,140.0,6.0,21.0,4.2
U0224,55,female,995.0,15.0,6.0,,0.9
U0225,41,male,1547.0,12.0,6.0,22.0,1.7
U0226,22,female,1632.0,19.0,8.0,44.0,1.4
U0227,51,female,1001.0,65.0,6.0,36.0,4.1
U0228,23,female,524.0,46.0,4.0,98.0,4.7
U0229,39,male,,146.0,5.0,113.0,0.9
U0230,28,female,787.0,121.0,4.0,76.0,2.2
U0231,33,male,837.0,53.0,7.0,98.0,4.6
U0232,50,female,1560.0,5.0,9.0,54.0,2.1
U0233,26,male,636.0,13.0,,83.0,3.7
U0234,23,female,1007.0,131.0,8.0,90.0,1.0
U0235,33,female,726.0,85.0,7.0,76.0,2.5
U0236,46,male,819.0,26.0,4.0,118.0,2.8
U0237,20,male,1415.0,6.0,4.0,31.0,3.9
U0238,37,male,1705.0,130.0,7.0,111.0,1.8
U0239,53,female,585.0,1.0,9.0,87.0,1.7
U0240,36,female,1425.0,79.0,6.0,100.0,1.9
U0241,43,female,552.0,59.0,6.0,51.0,3.0
U0242,20,female,1359.0,23.0,5.0,29.0,4.4
U0243,36,male,1366.0,14.0,4.0,57.0,4.2
U0244,37,female,1758.0,,4.0,27.0,0.8
U0245,49,female,932.0,141.0,7.0,,4.5
U0246,24,female,1498.0,133.0,,115.0,0.9
U0247,58,female,599.0,80.0,6.0,79.0,2.4
U0248,50,female,1489.0,17.0,4.0,83.0,3.9
U0249,57,female,,19.0,4.0,110.0,0.9
U0250,56,female,902.0,114.0,,102.0,0.7
U0251,35,male,895.0,39.0,5.0,15.0,2.0
U0252,57,female,914.0,38.0,5.0,48.0,3.8
U0253,18,female,1438.0,31.0,6.0,20.0,2.8
U0254,28,female,1176.0,123.0,9.0,34.0,2.4
U0255,45,female,962.0,107.0,4.0,117.0,4.2
U0256,42,male,1040.0,26.0,8.0,117.0,4.0
U0257,40,male,1653.0,109.0,4.0,103.0,4.0
U0258,48,male,583.0,96.0,7.0,64.0,2.6
U0259,47,male,770.0,73.0,6.0,93.0,0.6
U0260,59,male,,16.0,9.0,67.0,1.3
U0261,52,male,887.0,48.0,5.0,46.0,3.8
U0262,24,female,713.0,80.0,4.0,25.0,3.9
U0263,33,male,1317.0,115.0,9.0,104.0,4.9
U0264,43,male,1689.0,22.0,6.0,102.0,1.4
U0265,19,female,558.0,97.0,5.0,79.0,1.1
U0266,18,male,1382.0,71.0,4.0,102.0,1.1
U0267,29,female,1342.0,140.0,8.0,105.0,1.3
U0268,22,female,1423.0,56.0,6.0,82.0,2.9
U0269,54,male,622.0,147.0,4.0,46.0,4.9
U0270,49,female,1662.0,85.0,5.0,62.0,3.2
U0271,26,male,1752.0,22.0,5.0,96.0,2.9
U0272,58,male,1797.0,,8.0,25.0,3.5
U0273,52,female,938.0,66.0,6.0,27.0,0.8
U0274,36,female,1521.0,33.0,6.0,28.0,4.2
U0275,33,male,1061.0,32.0,9.0,53.0,3.4
U0276,20,female,617.0,45.0,4.0,11.0,1.3
U0277,37,female,1404.0,80.0,9.0,67.0,3.3
U0278,41,male,894.0,146.0,5.0,19.0,3.2
U0279,50,male,1375.0,86.0,5.0,85.0,0.8
U0280,41,female,1434.0,14.0,8.0,55.0,1.7
U0281,28,male,1601.0,122.0,8.0,91.0,2.3
U0282,25,male,1451.0,120.0,6.0,28.0,1.6
U0283,53,male,574.0,77.0,9.0,47.0,1.6
U0284,55,male,794.0,65.0,5.0,46.0,3.1
U0285,57,male,520.0,38.0,4.0,100.0,2.6
U0286,37,male,1694.0,17.0,7.0,,3.5
U0287,52,male,,20.0,4.0,54.0,4.8
U0288,42,female,1734.0,26.0,8.0,43.0,3.5
U0289,52,male,,1.0,4.0,11.0,3.1
U0290,42,female,1609.0,96.0,5.0,53.0,4.3
U0291,46,female,1672.0,38.0,,106.0,3.3
U0292,35,female,871.0,55.0,6.0,92.0,1.2
U0293,63,male,1317.0,106.0,9.0,,1.9
U0294,35,male,1674.0,126.0,,57.0,3.8
U0295,19,female,1664.0,12.0,6.0,103.0,3.8
U0296,52,male,1592.0,125.0,7.0,16.0,4.9
U0297,33,female,1783.0,55.0,7.0,36.0,3.3
U0298,58,male,1345.0,27.0,5.0,,4.5
U0299,53,male,1020.0,63.0,5.0,,0.7
U0300,50,female,870.0,70.0,8.0,,3.0
U0301,21,female,600.0,118.0,8.0,111.0,4.6
U0302,50,female,1160.0,99.0,7.0,27.0,1.8
U0303,31,male,,40.0,9.0,42.0,1.2
U0304,38,female,742.0,3.0,8.0,42.0,2.1
U0305,37,male,1252.0,87.0,5.0,105.0,4.1
U0306,25,male,1011.0,,8.0,34.0,0.9
U0307,24,male,1348.0,45.0,7.0,23.0,3.2
U0308,20,female,,87.0,6.0,47.0,1.1
U0309,34,female,1618.0,6.0,9.0,47.0,2.5
U0310,50,female,725.0,76.0,9.0,13.0,4.8
U0311,29,male,713.0,135.0,4.0,117.0,1.4
U0312,39,male,1217.0,140.0,8.0,71.0,0.7
U0313,39,female,566.0,92.0,9.0,91.0,2.4
U0314,63,male,895.0,19.0,5.0,19.0,3.1
U0315,47,male,1111.0,77.0,6.0,44.0,1.8
U0316,55,female,1535.0,26.0,5.0,,2.9
U0317,55,female,1760.0,119.0,8.0,113.0,4.8
U0318,62,female,1269.0,24.0,7.0,32.0,1.9
U0319,25,male,906.0,51.0,4.0,98.0,1.9
U0320,44,male,1424.0,20.0,4.0,74.0,2.7
U0321,44,male,1146.0,17.0,6.0,91.0,2.8
U0322,51,male,721.0,38.0,9.0,88.0,0.5
U0323,38,male,1679.0,14.0,9.0,34.0,3.3
U0324,47,female,1153.0,52.0,9.0,,5.0
U0325,50,male,,,4.0,62.0,1.8
U0326,45,male,1681.0,51.0,7.0,93.0,3.3
U0327,64,male,,71.0,,26.0,0.5
U0328,50,female,1505.0,27.0,5.0,66.0,3.2
U0329,22,female,870.0,143.0,9.0,84.0,2.5
U0330,36,female,,117.0,7.0,86.0,2.9
U0331,21,male,1349.0,143.0,,98.0,2.9
U0332,52,female,1355.0,34.0,6.0,29.0,1.3
U0333,34,female,728.0,144.0,4.0,34.0,4.0
U0334,61,female,779.0,98.0,7.0,51.0,3.0
U0335,45,male,1570.0,51.0,5.0,54.0,1.7
U0336,47,female,1474.0,139.0,7.0,40.0,4.7
U0337,46,male,1737.0,82.0,5.0,74.0,0.6
U0338,63,male,1257.0,47.0,5.0,61.0,3.8
U0339,23,female,1547.0,21.0,7.0,89.0,2.2
U0340,52,male,,122.0,8.0,101.0,2.9
U0341,58,female,773.0,126.0,7.0,30.0,1.8
U0342,54,male,1055.0,51.0,5.0,39.0,1.9
U0343,41,female,1343.0,78.0,9.0,12.0,0.6
U0344,46,female,1167.0,128.0,6.0,107.0,3.8
U0345,63,female,,65.0,6.0,79.0,3.7
U0346,48,male,879.0,,4.0,52.0,3.4
U0347,52,female,1210.0,7.0,6.0,38.0,4.5
U0348,50,male,1245.0,24.0,8.0,12.0,4.6
U0349,38,female,1174.0,93.0,5.0,67.0,3.0
U0350,49,male,615.0,14.0,,,3.6
U0351,40,male,1104.0,121.0,7.0,84.0,0.5
U0352,50,female,,74.0,8.0,54.0,4.3
U0353,20,female,878.0,103.0,6.0,78.0,4.2
U0354,35,female,,37.0,5.0,41.0,0.6
U0355,42,female,965.0,114.0,6.0,91.0,2.9
U0356,59,female,779.0,38.0,4.0,93.0,4.6
U0357,48,male,1117.0,107.0,6.0,61.0,1.3
U0358,20,female,617.0,16.0,4.0,73.0,2.1
U0359,57,female,1760.0,134.0,7.0,112.0,2.0
U0360,63,male,808.0,,5.0,49.0,2.1
U0361,41,female,599.0,38.0,9.0,101.0,0.7
U0362,49,female,760.0,34.0,4.0,22.0,1.8
U0363,64,male,1492.0,50.0,6.0,99.0,1.8
U0364,39,female,785.0,46.0,6.0,89.0,4.4
U0365,40,female,827.0,35.0,7.0,98.0,2.1
U0366,19,female,1626.0,63.0,8.0,83.0,2.5
U0367,44,male,,94.0,9.0,38.0,2.2
U0368,59,female,1186.0,104.0,8.0,119.0,1.0
U0369,19,male,1237.0,12.0,,,5.0
U0370,43,female,1530.0,145.0,8.0,111.0,4.2
U0371,34,male,1138.0,148.0,9.0,93.0,2.9
U0372,57,female,1435.0,111.0,9.0,35.0,2.6
U0373,50,male,1615.0,,5.0,105.0,3.4
U0374,26,male,1713.0,7.0,8.0,112.0,2.0
U0375,60,male,975.0,47.0,5.0,111.0,0.7
U0376,56,male,552.0,84.0,6.0,68.0,2.3
U0377,46,male,1253.0,42.0,6.0,58.0,4.9
U0378,59,male,985.0,,6.0,62.0,1.3
U0379,43,female,,18.0,7.0,97.0,2.9
U0380,52,female,908.0,22.0,8.0,40.0,0.5
U0381,42,male,1530.0,114.0,4.0,,1.0
U0382,41,male,1167.0,49.0,9.0,21.0,3.1
U0383,30,male,1720.0,42.0,4.0,67.0,1.8
U0384,24,male,1334.0,98.0,6.0,45.0,4.6
U0385,53,female,1375.0,103.0,8.0,19.0,2.3
U0386,62,male,866.0,115.0,,15.0,1.4
U0387,37,female,1501.0,50.0,4.0,16.0,3.0
U0388,18,female,749.0,105.0,6.0,40.0,4.1
U0389,25,male,1763.0,111.0,4.0,100.0,0.6
U0390,63,male,879.0,71.0,4.0,81.0,2.8
U0391,33,female,1371.0,138.0,9.0,12.0,4.0
U0392,31,female,1334.0,79.0,4.0,113.0,1.0
U0393,29,male,1274.0,48.0,6.0,56.0,4.6
U0394,40,male,1418.0,46.0,9.0,94.0,1.7
U0395,32,male,954.0,71.0,6.0,10.0,1.3
U0396,45,female,865.0,6.0,7.0,54.0,3.2
U0397,51,female,902.0,65.0,7.0,63.0,1.3
U0398,19,male,557.0,76.0,7.0,59.0,3.6
U0399,49,female,1020.0,61.0,4.0,88.0,2.7
U0400,40,female,1638.0,37.0,8.0,16.0,1.0
U0401,39,male,709.0,124.0,6.0,72.0,4.6
U0402,42,male,1564.0,83.0,7.0,24.0,3.5
U0403,39,female,1315.0,28.0,8.0,98.0,3.0
U0404,39,female,672.0,113.0,7.0,76.0,2.2
U0405,59,male,733.0,78.0,7.0,39.0,1.1
U0406,23,male,1292.0,22.0,8.0,87.0,3.7
U0407,32,male,1292.0,105.0,7.0,77.0,4.2
U0408,60,male,1562.0,130.0,4.0,45.0,1.1
U0409,54,male,618.0,100.0,4.0,76.0,2.7
U0410,50,female,834.0,7.0,9.0,14.0,2.7
U0411,25,female,1597.0,85.0,4.0,34.0,2.1
U0412,61,female,1714.0,116.0,5.0,104.0,4.1
U0413,61,female,823.0,28.0,9.0,20.0,0.9
U0414,22,male,1510.0,1.0,7.0,81.0,1.4
U0415,56,male,1670.0,112.0,5.0,99.0,0.5
U0416,21,male,,64.0,6.0,75.0,2.2
U0417,23,female,712.0,107.0,8.0,37.0,1.8
U0418,62,female,1428.0,19.0,6.0,,4.4
U0419,49,female,1251.0,36.0,5.0,19.0,3.9
U0420,47,male,,71.0,4.0,59.0,0.9
U0421,64,female,1545.0,26.0,7.0,48.0,3.8
U0422,52,male,604.0,122.0,9.0,46.0,3.5
U0423,57,male,1269.0,133.0,7.0,72.0,1.8
U0424,33,male,,44.0,4.0,70.0,0.6
U0425,30,male,1262.0,82.0,7.0,112.0,1.0
U0426,59,male,,145.0,8.0,94.0,1.6
U0427,47,male,878.0,119.0,8.0,,4.2
U0428,36,female,1745.0,64.0,8.0,47.0,2.6
U0429,34,male,1781.0,24.0,6.0,42.0,4.6
U0430,36,male,1212.0,26.0,4.0,84.0,4.1
U0431,45,female,724.0,134.0,8.0,54.0,1.8
U0432,43,male,1237.0,105.0,5.0,,4.3
U0433,54,female,735.0,43.0,8.0,10.0,1.0
U0434,43,female,682.0,106.0,9.0,62.0,0.7
U0435,40,female,1211.0,,6.0,56.0,3.2
U0436,26,male,943.0,146.0,5.0,42.0,2.0
U0437,29,male,,5.0,4.0,76.0,2.0
U0438,18,female,1529.0,8.0,4.0,99.0,3.6
U0439,18,male,1759.0,12.0,9.0,24.0,4.3
U0440,64,male,1650.0,40.0,8.0,114.0,1.9
U0441,51,female,1627.0,127.0,5.0,23.0,2.0
U0442,49,female,1248.0,65.0,9.0,,2.9
U0443,42,male,654.0,84.0,5.0,63.0,3.4
U0444,57,female,756.0,23.0,8.0,17.0,1.4
U0445,62,female,734.0,43.0,8.0,63.0,4.6
U0446,18,female,999.0,105.0,7.0,45.0,3.4
U0447,33,male,788.0,97.0,,93.0,3.3
U0448,56,male,1009.0,59.0,8.0,61.0,4.6
U0449,22,male,1208.0,8.0,6.0,15.0,4.6
U0450,39,female,1284.0,129.0,9.0,106.0,1.1
U0451,46,male,1393.0,55.0,7.0,37.0,1.2
U0452,20,female,1275.0,21.0,8.0,59.0,3.9
U0453,29,male,797.0,80.0,5.0,47.0,4.8
U0454,43,male,636.0,99.0,9.0,39.0,3.5
U0455,33,female,875.0,12.0,7.0,119.0,2.4
U0456,54,male,586.0,70.0,6.0,116.0,3.6
U0457,39,female,1722.0,15.0,,90.0,1.5
U0458,46,male,936.0,44.0,9.0,82.0,5.0
U0459,31,male,1263.0,64.0,4.0,101.0,2.4
U0460,45,female,1201.0,138.0,5.0,63.0,4.7
U0461,22,female,1441.0,69.0,6.0,80.0,2.4
U0462,64,female,651.0,,6.0,55.0,4.7
U0463,47,male,1531.0,98.0,6.0,37.0,2.0
U0464,63,male,1306.0,100.0,5.0,26.0,3.9
U0465,22,male,734.0,104.0,6.0,113.0,4.8
U0466,29,female,1174.0,139.0,4.0,57.0,3.4
U0467,33,female,1060.0,93.0,7.0,53.0,3.5
U0468,43,female,537.0,41.0,5.0,117.0,1.0
U0469,43,male,1659.0,,6.0,69.0,2.6
U0470,38,male,1321.0,132.0,8.0,69.0,4.5
U0471,56,female,920.0,104.0,7.0,14.0,1.6
U0472,53,male,1742.0,,9.0,78.0,4.0
U0473,50,female,847.0,25.0,5.0,87.0,3.5
U0474,47,male,1602.0,115.0,8.0,79.0,1.5
U0475,54,male,,48.0,9.0,16.0,1.8
U0476,40,female,772.0,148.0,8.0,62.0,2.4
U0477,27,male,1684.0,0.0,6.0,26.0,1.1
U0478,22,male,,91.0,5.0,68.0,4.6
U0479,53,female,1475.0,,,18.0,3.8
U0480,51,female,1232.0,78.0,9.0,104.0,2.1
U0481,48,male,1532.0,80.0,4.0,31.0,1.8
U0482,27,female,943.0,25.0,8.0,54.0,3.6
U0483,36,male,1636.0,76.0,4.0,82.0,2.4
U0484,49,female,1728.0,71.0,9.0,68.0,1.5
U0485,18,male,904.0,68.0,6.0,89.0,2.4
U0486,22,male,1352.0,5.0,7.0,109.0,4.4
U0487,62,female,1720.0,22.0,8.0,107.0,0.8
U0488,21,male,1277.0,53.0,7.0,118.0,2.2
U0489,33,male,614.0,86.0,5.0,22.0,4.8
U0490,41,female,1644.0,10.0,8.0,92.0,0.6
U0491,33,female,564.0,133.0,,21.0,4.5
U0492,19,male,1799.0,10.0,7.0,45.0,2.2
U0493,45,female,1324.0,76.0,9.0,19.0,1.4
U0494,49,female,738.0,11.0,5.0,25.0,0.6
U0495,44,male,801.0,52.0,8.0,101.0,0.8
U0496,37,male,1468.0,98.0,9.0,28.0,1.3
U0497,41,female,868.0,35.0,5.0,113.0,0.6
